id,year,dow_dollars,snp500_dollars,tbm_dollars
0,2001,9287.039474,8695.731209,12164.29
1,2002,7730.122612,6663.889478,11240.88
2,2003,9686.694131,8421.849911,18906.64
3,2004,9992.759762,9179.265004,18489.81
4,2005,9931.369213,9454.736874,19120.15
5,2006,11548.11343,10742.41827,23204.66
6,2007,12294.48648,11123.69788,23417.28
7,2008,8136.229278,6844.472371,15529.11
8,2009,9671.977625,8452.22111,26505.17
9,2010,10735.3797,9520.179262,28313.34
10,2011,11328.95173,9520.027863,26659
11,2012,12147.43977,10785.44758,30995.98
12,2013,15366.25222,13978.07437,35067.54
13,2014,16526.12718,15591.35434,34109.96
14,2015,16157.05161,15478.06731,34720.41
15,2016,18345.10442,17001.64922,43161.6
16,2017,22818.89331,20188.48153,52007
17,2018,21455.8955,18857.89365,52152.66
18,2019,26058.37877,23757.06625,59104.56
